4.390E-03 0.4713  0.9981 1.464E-22 1.417E+04
4.416E-03 0.4697  0.9980 1.473E-22 1.430E+04
4.441E-03 0.5647  0.9983 1.248E-22 9.944E+03
4.467E-03 0.5615  0.9983 1.250E-22 1.003E+04
4.493E-03 0.5535  0.9983 1.239E-22 1.013E+04
4.519E-03 0.5468  0.9982 1.231E-22 1.022E+04
4.545E-03 0.5419  0.9982 1.229E-22 1.031E+04
4.571E-03 0.5390  0.9981 1.233E-22 1.040E+04
4.597E-03 0.5379  0.9981 1.241E-22 1.050E+04
4.624E-03 0.5381  0.9981 1.253E-22 1.059E+04
4.651E-03 0.5392  0.9981 1.267E-22 1.069E+04
4.677E-03 0.5406  0.9981 1.282E-22 1.079E+04
4.704E-03 0.5421  0.9980 1.298E-22 1.088E+04
4.732E-03 0.5434  0.9980 1.313E-22 1.098E+04
4.759E-03 0.5444  0.9980 1.328E-22 1.107E+04
4.786E-03 0.5446  0.9980 1.340E-22 1.117E+04
4.814E-03 0.5443  0.9980 1.350E-22 1.127E+04
4.842E-03 0.5437  0.9979 1.360E-22 1.136E+04
4.870E-03 0.5430  0.9979 1.370E-22 1.146E+04
4.898E-03 0.5421  0.9979 1.379E-22 1.156E+04
4.926E-03 0.5411  0.9978 1.388E-22 1.166E+04
4.955E-03 0.5399  0.9978 1.396E-22 1.176E+04
4.983E-03 0.5387  0.9977 1.404E-22 1.186E+04
5.012E-03 0.5373  0.9977 1.412E-22 1.196E+04
5.041E-03 0.5358  0.9977 1.419E-22 1.206E+04
5.070E-03 0.5343  0.9976 1.427E-22 1.216E+04
5.099E-03 0.5327  0.9976 1.434E-22 1.227E+04
5.129E-03 0.5310  0.9976 1.440E-22 1.237E+04
5.158E-03 0.5293  0.9975 1.447E-22 1.247E+04
5.188E-03 0.5278  0.9975 1.454E-22 1.257E+04
5.218E-03 0.5263  0.9974 1.461E-22 1.267E+04
5.248E-03 0.5247  0.9974 1.468E-22 1.278E+04
5.278E-03 0.5232  0.9974 1.475E-22 1.288E+04
5.309E-03 0.5215  0.9973 1.482E-22 1.299E+04
5.339E-03 0.5199  0.9973 1.489E-22 1.309E+04
5.370E-03 0.5182  0.9972 1.496E-22 1.320E+04
5.401E-03 0.5165  0.9972 1.503E-22 1.331E+04
5.433E-03 0.5147  0.9971 1.510E-22 1.341E+04
5.464E-03 0.5130  0.9971 1.516E-22 1.352E+04
5.495E-03 0.5112  0.9970 1.523E-22 1.363E+04
5.527E-03 0.5094  0.9970 1.529E-22 1.374E+04
5.559E-03 0.5077  0.9969 1.536E-22 1.385E+04
5.591E-03 0.5059  0.9969 1.542E-22 1.395E+04
5.623E-03 0.5041  0.9968 1.549E-22 1.406E+04
5.656E-03 0.5023  0.9968 1.555E-22 1.417E+04
5.689E-03 0.5004  0.9967 1.562E-22 1.428E+04
5.721E-03 0.4985  0.9967 1.568E-22 1.440E+04
5.754E-03 0.4967  0.9966 1.574E-22 1.451E+04
5.788E-03 0.4948  0.9965 1.581E-22 1.462E+04
5.821E-03 0.4929  0.9965 1.587E-22 1.474E+04
5.855E-03 0.4910  0.9964 1.593E-22 1.485E+04
5.888E-03 0.4892  0.9964 1.600E-22 1.496E+04
5.922E-03 0.4873  0.9963 1.606E-22 1.507E+04
5.957E-03 0.4855  0.9963 1.612E-22 1.519E+04
