age,snrate,Xi_LyC,Psi_LW,Psi_PE
42.6,0,1.17403e+41,1.08544,7.62788
42.7,0,1.1474e+41,1.07761,7.59493
42.8,0,1.12076e+41,1.06978,7.56198
42.9,0,1.09412e+41,1.06195,7.52903
43,0,1.06748e+41,1.05412,7.49608
43.1,0,1.04084e+41,1.04629,7.46313
43.2,0,1.0142e+41,1.03846,7.43018
43.3,0,9.87565e+40,1.03062,7.39723
43.4,0,9.60927e+40,1.02279,7.36428
43.5,0,9.34289e+40,1.01496,7.33133
43.6,0,9.0765e+40,1.00713,7.29839
43.7,0,8.81012e+40,0.999301,7.26544
43.8,0,8.54373e+40,0.99147,7.23249
43.9,0,8.27735e+40,0.983639,7.19954
44,0,8.01096e+40,0.975808,7.16659
44.1,0,7.74458e+40,0.967977,7.13364
44.2,0,7.4782e+40,0.960146,7.10069
44.3,0,7.21181e+40,0.952315,7.06774
44.4,0,6.94543e+40,0.944484,7.03479
44.5,0,6.67904e+40,0.936653,7.00184
44.6,0,6.41266e+40,0.928822,6.96889
44.7,0,6.14627e+40,0.920991,6.93594
44.8,0,5.87989e+40,0.913161,6.90299
44.9,0,5.61351e+40,0.90533,6.87004
45,0,5.34712e+40,0.897499,6.83709
45.1,0,5.08074e+40,0.889668,6.80414
45.2,0,4.81435e+40,0.881837,6.77119
45.3,0,4.54797e+40,0.874006,6.73824
45.4,0,4.28158e+40,0.866175,6.70529
45.5,0,4.0152e+40,0.858344,6.67234
45.6,0,3.74882e+40,0.850513,6.63939
45.7,0,3.48243e+40,0.842682,6.60645
45.8,0,3.21605e+40,0.834851,6.5735
45.9,0,2.94966e+40,0.82702,6.54055
46,0,2.68328e+40,0.819189,6.5076
46.1,0,2.41689e+40,0.811359,6.47465
46.2,0,2.15051e+40,0.803528,6.4417
46.3,0,1.88413e+40,0.795697,6.40875
46.4,0,1.61774e+40,0.787866,6.3758
46.5,0,1.35136e+40,0.780035,6.34285
46.6,0,1.08497e+40,0.772204,6.3099
46.7,0,8.18589e+39,0.764373,6.27695
46.8,0,5.52205e+39,0.756542,6.244
46.9,0,2.85821e+39,0.748711,6.21105
47,0,1.94363e+38,0.74088,6.1781
47.1,0,-2.46948e+39,0.733049,6.14515
47.2,0,-5.13332e+39,0.725218,6.1122
47.3,0,-7.79716e+39,0.717387,6.07925
47.4,0,-1.0461e+40,0.709557,6.0463
47.5,0,-1.31248e+40,0.701726,6.01335
47.6,0,-1.57887e+40,0.693895,5.9804
47.7,0,-1.84525e+40,0.686064,5.94746
47.8,0,-2.11164e+40,0.678233,5.91451
47.9,0,-2.37802e+40,0.670402,5.88156
48,0,-2.64441e+40,0.662571,5.84861
48.1,0,-2.91079e+40,0.65474,5.81566
48.2,0,-3.17717e+40,0.646909,5.78271
48.3,0,-3.44356e+40,0.639078,5.74976
48.4,0,-3.70994e+40,0.631247,5.71681
48.5,0,-3.97633e+40,0.623416,5.68386
