Title: Ion-by-Ion Cooling Efficiencies
Authors: Orly Gnat and Gary Ferland
Table: Ion-by-Ion Cooling Efficiencies for Nitrogen
================================================================================
Byte-by-byte Description of file: datafile1G.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  8 A8     K       Temperature  Temperature (column 1)
  10- 17 A8     ---     N{0}         Ionic Cooling efficiency (column 2)
  19- 26 A8     ---     N{+}         Ionic Cooling efficiency (column 3)
  28- 35 A8     ---     N{2+}        Ionic Cooling efficiency (column 4)
  37- 44 A8     ---     N{3+}        Ionic Cooling efficiency (column 5)
  46- 53 A8     ---     N{4+}        Ionic Cooling efficiency (column 6)
  55- 62 A8     ---     N{5+}        Ionic Cooling efficiency (column 7)
  64- 71 A8     ---     N{6+}        Ionic Cooling efficiency (column 8)
  73- 80 A8     ---     N{7+}        Ionic Cooling efficiency (column 9)
  82- 89 A8     ---     N{CIE}       CIE Cooling efficiency (column 10)
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
4.51e+06 3.62e-18 2.98e-18 1.71e-18 1.35e-18 7.78e-19 1.07e-19 6.65e-20 4.19e-22 2.75e-21
4.75e+06 3.63e-18 2.96e-18 1.70e-18 1.34e-18 7.78e-19 1.19e-19 7.08e-20 4.26e-22 2.58e-21
5.00e+06 3.63e-18 2.94e-18 1.69e-18 1.34e-18 7.78e-19 1.35e-19 7.53e-20 4.32e-22 2.42e-21
5.01e+06 3.63e-18 2.94e-18 1.69e-18 1.34e-18 7.78e-19 1.36e-19 7.55e-20 4.32e-22 2.42e-21
5.25e+06 3.63e-18 2.93e-18 1.68e-18 1.33e-18 7.78e-19 1.48e-19 7.95e-20 4.38e-22 2.29e-21
5.50e+06 3.63e-18 2.91e-18 1.67e-18 1.32e-18 7.78e-19 1.60e-19 8.35e-20 4.43e-22 2.17e-21
5.75e+06 3.63e-18 2.89e-18 1.66e-18 1.32e-18 7.78e-19 1.72e-19 8.76e-20 4.49e-22 2.06e-21
6.03e+06 3.63e-18 2.87e-18 1.65e-18 1.31e-18 7.78e-19 1.82e-19 9.30e-20 4.55e-22 1.98e-21
6.31e+06 3.63e-18 2.85e-18 1.64e-18 1.30e-18 7.78e-19 1.93e-19 1.02e-19 4.60e-22 1.95e-21
6.61e+06 3.63e-18 2.83e-18 1.63e-18 1.29e-18 7.77e-19 2.03e-19 1.09e-19 4.66e-22 1.90e-21
6.92e+06 3.62e-18 2.80e-18 1.62e-18 1.28e-18 7.77e-19 2.13e-19 1.15e-19 4.72e-22 1.84e-21
7.24e+06 3.61e-18 2.78e-18 1.60e-18 1.27e-18 7.77e-19 2.23e-19 1.21e-19 4.77e-22 1.77e-21
7.59e+06 3.61e-18 2.76e-18 1.59e-18 1.26e-18 7.76e-19 2.33e-19 1.27e-19 4.83e-22 1.71e-21
7.94e+06 3.60e-18 2.73e-18 1.58e-18 1.26e-18 7.76e-19 2.42e-19 1.32e-19 4.89e-22 1.65e-21
8.32e+06 3.59e-18 2.71e-18 1.56e-18 1.25e-18 7.75e-19 2.52e-19 1.37e-19 4.95e-22 1.59e-21
8.71e+06 3.58e-18 2.69e-18 1.55e-18 1.24e-18 7.74e-19 2.61e-19 1.42e-19 5.00e-22 1.53e-21
