# CIE bound-bound cooling efficiency for O (Z=8)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_O0           L_O1           L_O2           L_O3           L_O4           L_O5           L_O6           L_O7           L_O8         
         7.8500   0.000000e+00   1.336055e-23   5.344219e-23   1.202449e-22   2.137688e-22   3.340939e-22   4.824087e-22   7.074810e-22   9.386486e-22
         7.9000   0.000000e+00   1.415221e-23   5.660884e-23   1.273699e-22   2.264354e-22   3.538053e-22   5.101256e-22   7.420655e-22   9.832169e-22
         7.9500   0.000000e+00   1.499078e-23   5.996313e-23   1.349170e-22   2.398525e-22   3.747695e-22   5.396681e-22   7.790506e-22   1.030871e-21
         8.0000   0.000000e+00   1.587904e-23   6.351617e-23   1.429114e-22   2.540647e-22   3.969760e-22   5.716455e-22   8.185969e-22   1.081832e-21
         8.0500   0.000000e+00   1.681993e-23   6.727974e-23   1.513794e-22   2.691189e-22   4.204983e-22   6.055176e-22   8.608654e-22   1.136327e-21
         8.1000   0.000000e+00   1.781658e-23   7.126631e-23   1.603492e-22   2.850652e-22   4.454144e-22   6.413968e-22   9.060158e-22   1.194585e-21
         8.1500   0.000000e+00   1.887228e-23   7.548910e-23   1.698505e-22   3.019564e-22   4.718069e-22   6.794019e-22   9.542124e-22   1.256833e-21
         8.2000   0.000000e+00   1.999053e-23   7.996212e-23   1.799148e-22   3.198485e-22   4.997632e-22   7.196590e-22   1.005624e-21   1.323299e-21
         8.2500   0.000000e+00   2.117504e-23   8.470017e-23   1.905754e-22   3.388007e-22   5.293761e-22   7.623015e-22   1.060428e-21   1.394222e-21
         8.3000   0.000000e+00   2.242974e-23   8.971897e-23   2.018677e-22   3.588759e-22   5.607436e-22   8.074707e-22   1.118808e-21   1.469845e-21
         8.3500   0.000000e+00   2.375879e-23   9.503515e-23   2.138291e-22   3.801406e-22   5.939697e-22   8.553164e-22   1.180957e-21   1.550426e-21
