# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         6.4000   0.000000e+00   2.461361e-18   1.054068e-18   1.154867e-18   8.985570e-19   8.029042e-19   1.147947e-18   9.736397e-19   7.576928e-19   4.027794e-19   6.815965e-22   1.821395e-22   0.000000e+00
         6.4500   0.000000e+00   2.391467e-18   1.067106e-18   1.173329e-18   9.136902e-19   8.156995e-19   1.170366e-18   9.894659e-19   7.674353e-19   4.107384e-19   1.296476e-21   3.709137e-22   0.000000e+00
         6.5000   0.000000e+00   2.321398e-18   1.076194e-18   1.187653e-18   9.260325e-19   8.260477e-19   1.188184e-18   1.001601e-18   7.749620e-19   4.184368e-19   2.296878e-21   6.980311e-22   0.000000e+00
         6.5500   0.000000e+00   2.251569e-18   1.081631e-18   1.198088e-18   9.357486e-19   8.340685e-19   1.201621e-18   1.010148e-18   7.802513e-19   4.258266e-19   3.820560e-21   1.224365e-21   0.000000e+00
         6.6000   0.000000e+00   2.182307e-18   1.083709e-18   1.205043e-18   9.429952e-19   8.398955e-19   1.210920e-18   1.015352e-18   7.833122e-19   4.328866e-19   6.009191e-21   2.016882e-21   0.000000e+00
         6.6500   0.000000e+00   2.113752e-18   1.082707e-18   1.208877e-18   9.479190e-19   8.436647e-19   1.216337e-18   1.017483e-18   7.841927e-19   4.396036e-19   8.993811e-21   3.141419e-21   0.000000e+00
         6.7000   0.000000e+00   2.045909e-18   1.078908e-18   1.209852e-18   9.506563e-19   8.455124e-19   1.218134e-18   1.016789e-18   7.830208e-19   4.459293e-19   1.288090e-20   4.654489e-21   0.000000e+00
         6.7500   0.000000e+00   1.978815e-18   1.072631e-18   1.208167e-18   9.513332e-19   8.455693e-19   1.216566e-18   1.013496e-18   7.799423e-19   4.518300e-19   1.774140e-20   6.595698e-21   0.000000e+00
         6.8000   0.000000e+00   1.912535e-18   1.064159e-18   1.203992e-18   9.500676e-19   8.439581e-19   1.211880e-18   1.007815e-18   7.750917e-19   4.574048e-19   2.360415e-20   8.982163e-21   0.000000e+00
         6.8500   0.000000e+00   1.847157e-18   1.053731e-18   1.197477e-18   9.469711e-19   8.407928e-19   1.204322e-18   9.999505e-19   7.685942e-19   4.624867e-19   3.045406e-20   1.180578e-20   0.000000e+00
         6.9000   0.000000e+00   1.782830e-18   1.041557e-18   1.188767e-18   9.421505e-19   8.361796e-19   1.194145e-18   9.901208e-19   7.605699e-19   4.670107e-19   3.823479e-20   1.503291e-20   0.000000e+00
         6.9500   0.000000e+00   1.719707e-18   1.027825e-18   1.178017e-18   9.357097e-19   8.302172e-19   1.181595e-18   9.785284e-19   7.511424e-19   4.709067e-19   4.685468e-20   1.860693e-20   0.000000e+00
         7.0000   0.000000e+00   1.657912e-18   1.012714e-18   1.165430e-18   9.277512e-19   8.229991e-19   1.166914e-18   9.653528e-19   7.404687e-19   4.744076e-19   5.619445e-20   2.245403e-20   0.000000e+00
