# CIE bound-bound cooling efficiency for Fe (Z=26)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Fe0          L_Fe1          L_Fe2          L_Fe3          L_Fe4          L_Fe5          L_Fe6          L_Fe7          L_Fe8          L_Fe9          L_Fe10         L_Fe11         L_Fe12         L_Fe13         L_Fe14         L_Fe15         L_Fe16         L_Fe17         L_Fe18         L_Fe19         L_Fe20         L_Fe21         L_Fe22         L_Fe23         L_Fe24         L_Fe25         L_Fe26       
         5.1000   0.000000e+00   7.285062e-25   2.808786e-24   5.867747e-24   9.771912e-24   1.480980e-23   2.082309e-23   2.784545e-23   3.590048e-23   4.430207e-23   5.438264e-23   6.549170e-23   7.749980e-23   9.063219e-23   1.047778e-22   1.196245e-22   1.357974e-22   1.524108e-22   1.708688e-22   1.903816e-22   2.109492e-22   2.325715e-22   2.552485e-22   2.789803e-22   3.037668e-22   3.296081e-22   3.565041e-22
         5.1500   0.000000e+00   7.694568e-25   3.008365e-24   6.302129e-24   1.047704e-23   1.585694e-23   2.226792e-23   2.974766e-23   3.832293e-23   4.721402e-23   5.793456e-23   6.974610e-23   8.250093e-23   9.645593e-23   1.114844e-22   1.272289e-22   1.444046e-22   1.614417e-22   1.809934e-22   2.016625e-22   2.234487e-22   2.463522e-22   2.703729e-22   2.955109e-22   3.217661e-22   3.491386e-22   3.776283e-22
         5.2000   0.000000e+00   8.106294e-25   3.217169e-24   6.768976e-24   1.123820e-23   1.698674e-23   2.382512e-23   3.179546e-23   4.092810e-23   5.033793e-23   6.174256e-23   7.430471e-23   8.785593e-23   1.026889e-22   1.186592e-22   1.353584e-22   1.536032e-22   1.710077e-22   1.917180e-22   2.136117e-22   2.366889e-22   2.609495e-22   2.863935e-22   3.130210e-22   3.408320e-22   3.698264e-22   4.000042e-22
         5.2500   0.000000e+00   8.519889e-25   3.433962e-24   7.269445e-24   1.205976e-23   1.820608e-23   2.550428e-23   3.400131e-23   4.373159e-23   5.369143e-23   6.582773e-23   7.919232e-23   9.359333e-23   1.093638e-22   1.263395e-22   1.440538e-22   1.634391e-22   1.811406e-22   2.030780e-22   2.262690e-22   2.507136e-22   2.764117e-22   3.033634e-22   3.315687e-22   3.610275e-22   3.917399e-22   4.237059e-22
         5.3000   0.000000e+00   8.935907e-25   3.657274e-24   7.804019e-24   1.294613e-23   1.952232e-23   2.731570e-23   3.637869e-23   4.675029e-23   5.729376e-23   7.021315e-23   8.443608e-23   9.974430e-23   1.165165e-22   1.345658e-22   1.533600e-22   1.739622e-22   1.918738e-22   2.151111e-22   2.396763e-22   2.655693e-22   2.927901e-22   3.213388e-22   3.512154e-22   3.824198e-22   4.149520e-22   4.488121e-22
         5.3500   0.000000e+00   9.355908e-25   3.885574e-24   8.372467e-24   1.390174e-23   2.094314e-23   2.927047e-23   3.894224e-23   5.000261e-23   6.116583e-23   7.492395e-23   9.006567e-23   1.063429e-22   1.241859e-22   1.433824e-22   1.633258e-22   1.852271e-22   2.032430e-22   2.278572e-22   2.538780e-22   2.813052e-22   3.101390e-22   3.403793e-22   3.720262e-22   4.050796e-22   4.395394e-22   4.754059e-22
         5.4000   0.000000e+00   9.782292e-25   4.117350e-24   8.973498e-24   1.493078e-23   2.247654e-23   3.138045e-23   4.170769e-23   5.350849e-23   6.533057e-23   7.998751e-23   9.611339e-23   1.134263e-22   1.324148e-22   1.528377e-22   1.740046e-22   1.972935e-22   2.152859e-22   2.413586e-22   2.689212e-22   2.979736e-22   3.285159e-22   3.605481e-22   3.940701e-22   4.290820e-22   4.655838e-22   5.035754e-22
         5.4500   0.000000e+00   1.021820e-24   4.351414e-24   9.604829e-24   1.603684e-23   2.413069e-23   3.365813e-23   4.469199e-23   5.728949e-23   6.981292e-23   8.543378e-23   1.026145e-22   1.210352e-22   1.412497e-22   1.629846e-22   1.854545e-22   2.102265e-22   2.283700e-22   2.556600e-22   2.848558e-22   3.156297e-22   3.479817e-22   3.819119e-22   4.174202e-22   4.545067e-22   4.931714e-22   5.334142e-22
         5.5000   0.000000e+00   1.066730e-24   4.586866e-24   1.026307e-23   1.722272e-23   2.591352e-23   3.611659e-23   4.791322e-23   6.136885e-23   7.463999e-23   9.129540e-23   1.096074e-22   1.292138e-22   1.507414e-22   1.738808e-22   1.977392e-22   2.240969e-22   2.427598e-22   2.715151e-22   3.018436e-22   3.343319e-22   3.686009e-22   4.045416e-22   4.421540e-22   4.814380e-22   5.223936e-22   5.650209e-22
         5.5500   0.000000e+00   1.113362e-24   4.823403e-24   1.094407e-23   1.848966e-23   2.783256e-23   3.876922e-23   5.139047e-23   6.577143e-23   7.984122e-23   9.760781e-23   1.171342e-22   1.380104e-22   1.609454e-22   1.855891e-22   2.109282e-22   2.389826e-22   2.581291e-22   2.886507e-22   3.208351e-22   3.547399e-22   3.904419e-22   4.285122e-22   4.683532e-22   5.099649e-22   5.533474e-22   5.985005e-22
         5.6000   0.000000e+00   1.162132e-24   5.061191e-24   1.164305e-23   1.983720e-23   2.989395e-23   4.162944e-23   5.514374e-23   7.052381e-23   8.544858e-23   1.044095e-22   1.252403e-22   1.474778e-22   1.719221e-22   1.981784e-22   2.250974e-22   2.549685e-22   2.745527e-22   3.069557e-22   3.411162e-22   3.771000e-22   4.148487e-22   4.544341e-22   4.961049e-22   5.401823e-22   5.861353e-22   6.339639e-22
         5.6500   0.000000e+00   1.213471e-24   5.301018e-24   1.235535e-23   2.126239e-23   3.210220e-23   4.471003e-23   5.919345e-23   7.565383e-23   9.149651e-23   1.117423e-22   1.339754e-22   1.576731e-22   1.837375e-22   2.117235e-22   2.403293e-22   2.721468e-22   2.921119e-22   3.265198e-22   3.627851e-22   4.009830e-22   4.410466e-22   4.830581e-22   5.265869e-22   5.726350e-22   6.208660e-22   6.715286e-22
