# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         7.0000   4.271116e-24   6.920392e-24   1.060715e-23   2.146875e-23   3.485559e-23   1.205139e-22   8.334242e-23   1.562319e-22   1.439688e-22   8.448929e-22   2.069230e-21   2.369533e-21   0.000000e+00
         7.0500   4.761023e-24   7.504452e-24   9.984545e-24   2.013692e-23   3.256816e-23   1.132835e-22   7.758962e-23   1.463221e-22   1.386594e-22   8.102091e-22   1.990013e-21   2.276209e-21   0.000000e+00
         7.1000   5.308530e-24   8.150788e-24   9.376406e-24   1.884914e-23   3.037165e-23   1.063321e-22   7.210664e-23   1.368563e-22   1.336036e-22   7.763678e-22   1.913587e-21   2.186564e-21   0.000000e+00
         7.1500   5.920220e-24   8.865014e-24   8.785157e-24   1.760639e-23   2.826778e-23   9.966283e-23   6.689178e-23   1.278137e-22   1.287247e-22   7.434283e-22   1.839774e-21   2.100165e-21   0.000000e+00
         7.2000   6.603433e-24   9.653282e-24   8.212973e-24   1.640943e-23   2.625769e-23   9.327783e-23   6.194296e-23   1.191892e-22   1.239480e-22   7.112810e-22   1.768594e-21   2.016801e-21   0.000000e+00
         7.2500   7.366349e-24   1.052233e-23   7.661155e-24   1.526020e-23   2.434163e-23   8.718007e-23   5.725784e-23   1.109805e-22   1.192321e-22   6.798135e-22   1.700069e-21   1.936408e-21   0.000000e+00
         7.3000   8.218080e-24   1.147956e-23   7.130433e-24   1.416099e-23   2.251930e-23   8.137006e-23   5.283434e-23   1.031850e-22   1.145837e-22   6.489718e-22   1.633826e-21   1.858911e-21   0.000000e+00
         7.3500   9.168782e-24   1.253305e-23   6.621362e-24   1.311330e-23   2.079032e-23   7.583760e-23   4.866983e-23   9.580057e-23   1.100120e-22   6.187903e-22   1.569236e-21   1.783945e-21   0.000000e+00
         7.4000   1.022976e-23   1.369168e-23   6.134547e-24   1.211728e-23   1.915424e-23   7.056889e-23   4.475605e-23   8.882421e-23   1.055237e-22   5.893156e-22   1.506130e-21   1.711006e-21   0.000000e+00
         7.4500   1.141362e-23   1.496516e-23   5.670539e-24   1.117256e-23   1.761017e-23   6.555775e-23   4.107975e-23   8.224582e-23   1.011325e-22   5.605908e-22   1.444734e-21   1.639946e-21   0.000000e+00
         7.5000   1.273436e-23   1.636413e-23   5.229704e-24   1.027867e-23   1.615652e-23   6.080834e-23   3.762861e-23   7.604280e-23   9.685780e-23   5.326601e-22   1.385122e-21   1.570866e-21   0.000000e+00
         7.5500   1.420761e-23   1.790022e-23   4.812201e-24   9.435228e-24   1.479128e-23   5.632412e-23   3.439841e-23   7.019118e-23   9.269969e-23   5.055628e-22   1.327050e-21   1.503758e-21   0.000000e+00
         7.6000   1.585072e-23   1.958618e-23   4.417987e-24   8.641669e-24   1.351215e-23   5.210017e-23   3.138694e-23   6.468099e-23   8.861527e-23   4.792999e-22   1.270385e-21   1.438430e-21   0.000000e+00
         7.6500   1.768302e-23   2.143595e-23   4.046870e-24   7.897186e-24   1.231672e-23   4.812567e-23   2.858942e-23   5.951239e-23   8.456039e-23   4.538187e-22   1.215213e-21   1.374797e-21   0.000000e+00
         7.7000   1.972599e-23   2.346477e-23   3.698535e-24   7.200697e-24   1.120236e-23   4.438926e-23   2.599524e-23   5.468387e-23   8.054837e-23   4.290694e-22   1.161357e-21   1.312907e-21   0.000000e+00
         7.7500   2.200352e-23   2.568931e-23   3.372552e-24   6.550900e-24   1.016627e-23   4.088210e-23   2.359272e-23   5.018237e-23   7.662589e-23   4.050878e-22   1.108452e-21   1.252588e-21   0.000000e+00
         7.8000   2.454218e-23   2.812778e-23   3.068394e-24   5.946327e-24   9.205436e-24   3.759706e-23   2.137076e-23   4.598906e-23   7.283235e-23   3.819478e-22   1.056572e-21   1.193574e-21   0.000000e+00
         7.8500   2.737148e-23   3.080007e-23   2.785439e-24   5.385370e-24   8.316707e-24   3.452655e-23   1.932019e-23   4.208510e-23   6.916380e-23   3.597118e-22   1.006066e-21   1.135936e-21   0.000000e+00
         7.9000   3.052420e-23   3.372792e-23   2.522976e-24   4.866313e-24   7.496814e-24   3.166230e-23   1.743230e-23   3.845546e-23   6.560234e-23   3.383738e-22   9.570873e-22   1.079910e-21   0.000000e+00
         7.9500   3.403674e-23   3.693505e-23   2.280217e-24   4.387350e-24   6.742404e-24   2.899507e-23   1.569839e-23   3.508778e-23   6.213494e-23   3.179036e-22   9.095095e-22   1.025587e-21   0.000000e+00
         8.0000   3.794954e-23   4.044735e-23   2.056319e-24   3.946596e-24   6.050075e-24   2.651554e-23   1.410957e-23   3.196973e-23   5.876361e-23   2.982733e-22   8.632121e-22   9.728874e-22   0.000000e+00
         8.0500   4.230743e-23   4.429306e-23   1.850392e-24   3.542111e-24   5.416395e-24   2.421450e-23   1.265687e-23   2.908858e-23   5.549629e-23   2.794776e-22   8.181945e-22   9.217442e-22   0.000000e+00
