# CIE bound-bound cooling efficiency for Ne (Z=10)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ne0          L_Ne1          L_Ne2          L_Ne3          L_Ne4          L_Ne5          L_Ne6          L_Ne7          L_Ne8          L_Ne9          L_Ne10       
         7.5500   1.069856e-24   2.909905e-24   4.990042e-24   1.127460e-23   1.400576e-23   3.630283e-23   7.397360e-23   2.120131e-22   6.385592e-22   5.903498e-22   0.000000e+00
         7.6000   9.622545e-25   2.638863e-24   4.526635e-24   1.029404e-23   1.276641e-23   3.345066e-23   6.989768e-23   2.001284e-22   6.093699e-22   5.619999e-22   0.000000e+00
         7.6500   8.625049e-25   2.386807e-24   4.096314e-24   9.381622e-24   1.161539e-23   3.077802e-23   6.597837e-23   1.886874e-22   5.808151e-22   5.343796e-22   0.000000e+00
         7.7000   7.703881e-25   2.153184e-24   3.697906e-24   8.534525e-24   1.054893e-23   2.827822e-23   6.220531e-23   1.776969e-22   5.530700e-22   5.075499e-22   0.000000e+00
         7.7500   6.856612e-25   1.937356e-24   3.330138e-24   7.749864e-24   9.563067e-24   2.594492e-23   5.857013e-23   1.671430e-22   5.261460e-22   4.816200e-22   0.000000e+00
         7.8000   6.080566e-25   1.738612e-24   2.991655e-24   7.024694e-24   8.653671e-24   2.377147e-23   5.507228e-23   1.570107e-22   4.999648e-22   4.565974e-22   0.000000e+00
         7.8500   5.372827e-25   1.556185e-24   2.681038e-24   6.356060e-24   7.816619e-24   2.175064e-23   5.171506e-23   1.472946e-22   4.744777e-22   4.324165e-22   0.000000e+00
         7.9000   4.730240e-25   1.389267e-24   2.396823e-24   5.741008e-24   7.047833e-24   1.987483e-23   4.850070e-23   1.379975e-22   4.497078e-22   4.090275e-22   0.000000e+00
         7.9500   4.149440e-25   1.237022e-24   2.137519e-24   5.176568e-24   6.343310e-24   1.813652e-23   4.542940e-23   1.291208e-22   4.256908e-22   3.864316e-22   0.000000e+00
         8.0000   3.626879e-25   1.098592e-24   1.901622e-24   4.659764e-24   5.699149e-24   1.652836e-23   4.249906e-23   1.206625e-22   4.024527e-22   3.646432e-22   0.000000e+00
         8.0500   3.158871e-25   9.731162e-25   1.687636e-24   4.187646e-24   5.111523e-24   1.504321e-23   3.970714e-23   1.126158e-22   3.799996e-22   3.436714e-22   0.000000e+00
         8.1000   2.741634e-25   8.597345e-25   1.494079e-24   3.757312e-24   4.576682e-24   1.367422e-23   3.705108e-23   1.049721e-22   3.583293e-22   3.235122e-22   0.000000e+00
         8.1500   2.371349e-25   7.575973e-25   1.319498e-24   3.365917e-24   4.090976e-24   1.241463e-23   3.452827e-23   9.772261e-23   3.374557e-22   3.041549e-22   0.000000e+00
         8.2000   2.044202e-25   6.658726e-25   1.162479e-24   3.010705e-24   3.650868e-24   1.125778e-23   3.213635e-23   9.085810e-23   3.174144e-22   2.855981e-22   0.000000e+00
         8.2500   1.756440e-25   5.837515e-25   1.021655e-24   2.689013e-24   3.252948e-24   1.019714e-23   2.987268e-23   8.436960e-23   2.981879e-22   2.678569e-22   0.000000e+00
         8.3000   1.504411e-25   5.104530e-25   8.957110e-25   2.398280e-24   2.893948e-24   9.226336e-24   2.773422e-23   7.824772e-23   2.797119e-22   2.509150e-22   0.000000e+00
         8.3500   1.284604e-25   4.452282e-25   7.833912e-25   2.136055e-24   2.570752e-24   8.339209e-24   2.571748e-23   7.248208e-23   2.619841e-22   2.347191e-22   0.000000e+00
         8.4000   1.093680e-25   3.873635e-25   6.835030e-25   1.900008e-24   2.280397e-24   7.529828e-24   2.381871e-23   6.706113e-23   2.450585e-22   2.192522e-22   0.000000e+00
         8.4500   9.284988e-26   3.361829e-25   5.949194e-25   1.687939e-24   2.020076e-24   6.792520e-24   2.203389e-23   6.197274e-23   2.289589e-22   2.045414e-22   0.000000e+00
         8.5000   7.861319e-26   2.910499e-25   5.165806e-25   1.497778e-24   1.787148e-24   6.121853e-24   2.035880e-23   5.720410e-23   2.136538e-22   1.905977e-22   0.000000e+00
         8.5500   6.638778e-26   2.513682e-25   4.474951e-25   1.327580e-24   1.579137e-24   5.512657e-24   1.878917e-23   5.274203e-23   1.991068e-22   1.773923e-22   0.000000e+00
         8.6000   5.592635e-26   2.165821e-25   3.867391e-25   1.175526e-24   1.393737e-24   4.960040e-24   1.732061e-23   4.857324e-23   1.852975e-22   1.648910e-22   0.000000e+00
         8.6500   4.700446e-26   1.861766e-25   3.334562e-25   1.039918e-24   1.228800e-24   4.459401e-24   1.594865e-23   4.468431e-23   1.722166e-22   1.530688e-22   0.000000e+00
         8.7000   3.941991e-26   1.596766e-25   2.868556e-25   9.191777e-25   1.082333e-24   4.006444e-24   1.466880e-23   4.106173e-23   1.598520e-22   1.419106e-22   0.000000e+00
         8.7500   3.299187e-26   1.366459e-25   2.462108e-25   8.118403e-25   9.524958e-25   3.597144e-24   1.347665e-23   3.769203e-23   1.481864e-22   1.313996e-22   0.000000e+00
         8.8000   2.755975e-26   1.166864e-25   2.108564e-25   7.165567e-25   8.375888e-25   3.227736e-24   1.236783e-23   3.456198e-23   1.371977e-22   1.215161e-22   0.000000e+00
         8.8500   2.298176e-26   9.943584e-26   1.801864e-25   6.320893e-25   7.360502e-25   2.894711e-24   1.133808e-23   3.165869e-23   1.268630e-22   1.122365e-22   0.000000e+00
         8.9000   1.913354e-26   8.456664e-26   1.536505e-25   5.573060e-25   6.464517e-25   2.594796e-24   1.038318e-23   2.896962e-23   1.171591e-22   1.035374e-22   0.000000e+00
         8.9500   1.590657e-26   7.178365e-26   1.307513e-25   4.911746e-25   5.674933e-25   2.324943e-24   9.499001e-24   2.648254e-23   1.080627e-22   9.539504e-23   0.000000e+00
         9.0000   1.320665e-26   6.082218e-26   1.110413e-25   4.327569e-25   4.979959e-25   2.082337e-24   8.681466e-24   2.418552e-23   9.955098e-23   8.778594e-23   0.000000e+00
