# CIE bound-bound cooling efficiency for Ca (Z=20)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ca0          L_Ca1          L_Ca2          L_Ca3          L_Ca4          L_Ca5          L_Ca6          L_Ca7          L_Ca8          L_Ca9          L_Ca10         L_Ca11         L_Ca12         L_Ca13         L_Ca14         L_Ca15         L_Ca16         L_Ca17         L_Ca18         L_Ca19         L_Ca20       
         6.3000   0.000000e+00   2.123723e-18   9.317542e-24   2.417994e-23   1.202393e-20   5.612695e-21   2.433782e-18   2.135722e-18   2.146941e-18   1.254666e-18   3.049838e-19   2.952291e-19   3.077085e-19   3.099504e-19   3.107057e-19   3.052455e-19   2.814903e-19   1.519505e-19   1.329001e-20   2.988833e-20   2.824850e-20
         6.3500   0.000000e+00   2.061453e-18   9.812439e-24   2.523740e-23   1.133064e-20   4.877647e-21   2.417301e-18   2.103780e-18   2.119308e-18   1.246763e-18   3.725084e-19   3.480148e-19   3.536167e-19   3.436150e-19   3.345830e-19   3.197666e-19   2.880554e-19   1.530216e-19   1.281210e-20   2.849733e-20   2.688073e-20
         6.4000   0.000000e+00   1.999474e-18   1.034040e-23   2.634191e-23   1.067997e-20   4.236671e-21   2.396173e-18   2.068883e-18   2.087412e-18   1.237138e-18   4.438891e-19   4.036192e-19   4.032160e-19   3.808119e-19   3.611809e-19   3.359695e-19   2.955353e-19   1.548470e-19   1.236975e-20   2.718897e-20   2.559961e-20
         6.4500   0.000000e+00   1.937946e-18   1.090323e-23   2.750334e-23   1.006904e-20   3.679183e-21   2.370923e-18   2.031542e-18   2.051838e-18   1.225835e-18   5.174171e-19   4.606254e-19   4.554043e-19   4.208232e-19   3.901303e-19   3.536925e-19   3.040025e-19   1.574813e-19   1.196115e-20   2.593107e-20   2.440098e-20
         6.5000   0.000000e+00   1.877015e-18   1.150282e-23   2.873165e-23   9.495227e-21   3.195506e-21   2.342011e-18   1.992180e-18   2.013118e-18   1.212740e-18   5.915053e-19   5.176415e-19   5.089538e-19   4.627471e-19   4.208832e-19   3.726437e-19   3.134095e-19   1.609126e-19   1.158461e-20   2.478760e-20   2.328072e-20
         6.5500   0.000000e+00   1.816806e-18   1.214119e-23   3.003584e-23   8.956077e-21   2.776847e-21   2.309846e-18   1.951136e-18   1.971737e-18   1.197915e-18   6.646912e-19   5.734103e-19   5.626063e-19   5.055790e-19   4.527625e-19   3.924273e-19   3.236185e-19   1.650708e-19   1.123873e-20   2.372077e-20   2.223488e-20
         6.6000   0.000000e+00   1.757432e-18   1.282043e-23   3.142439e-23   8.449345e-21   2.415269e-21   2.274786e-18   1.908698e-18   1.928133e-18   1.181438e-18   7.356829e-19   6.269019e-19   6.152299e-19   5.482903e-19   4.850194e-19   4.125764e-19   3.344120e-19   1.698485e-19   1.092335e-20   2.272721e-20   2.125976e-20
         6.6500   0.000000e+00   1.698988e-18   1.354279e-23   3.290626e-23   7.972953e-21   2.103648e-21   2.237161e-18   1.865115e-18   1.882719e-18   1.163546e-18   8.033907e-19   6.773578e-19   6.659037e-19   5.899335e-19   5.168900e-19   4.325962e-19   3.455118e-19   1.751138e-19   1.064099e-20   2.178821e-20   2.035187e-20
         6.7000   0.000000e+00   1.641559e-18   1.431064e-23   3.449040e-23   7.524979e-21   1.835630e-21   2.197275e-18   1.820610e-18   1.835946e-18   1.144884e-18   8.669402e-19   7.242519e-19   7.138661e-19   6.297626e-19   5.476716e-19   4.520017e-19   3.566085e-19   1.807313e-19   1.039886e-20   2.093542e-20   1.950796e-20
         6.7500   0.000000e+00   1.585217e-18   1.512647e-23   3.618444e-23   7.103642e-21   1.605572e-21   2.155411e-18   1.775379e-18   1.788220e-18   1.124969e-18   9.256706e-19   7.672325e-19   7.585173e-19   6.671827e-19   5.768665e-19   4.703543e-19   3.673872e-19   1.865890e-19   1.021205e-20   2.015458e-20   1.872499e-20
         6.8000   0.000000e+00   1.530020e-18   1.599299e-23   3.799604e-23   6.707296e-21   1.408484e-21   2.111834e-18   1.729600e-18   1.739873e-18   1.103927e-18   9.791223e-19   8.060642e-19   7.994139e-19   7.017362e-19   6.041138e-19   4.873254e-19   3.775532e-19   1.926219e-19   1.010839e-20   1.945336e-20   1.800006e-20
         6.8500   0.000000e+00   1.476020e-18   1.691304e-23   3.993296e-23   6.334412e-21   1.239980e-21   2.066789e-18   1.683443e-18   1.691178e-18   1.081887e-18   1.027020e-18   8.406235e-19   8.362571e-19   7.330948e-19   6.291458e-19   5.026760e-19   3.868775e-19   1.988210e-19   1.013374e-20   1.884690e-20   1.733066e-20
         6.9000   0.000000e+00   1.423256e-18   1.790129e-23   4.200294e-23   5.983569e-21   1.096223e-21   2.020509e-18   1.637067e-18   1.642364e-18   1.058971e-18   1.069248e-18   8.708912e-19   8.688756e-19   7.610458e-19   6.517746e-19   5.162346e-19   3.951903e-19   2.052218e-19   1.035434e-20   1.835929e-20   1.671448e-20
         6.9500   0.000000e+00   1.371763e-18   1.896201e-23   4.421369e-23   5.653448e-21   9.738611e-22   1.973209e-18   1.590621e-18   1.593613e-18   1.035305e-18   1.105822e-18   8.968949e-19   8.972074e-19   7.854774e-19   6.718796e-19   5.278909e-19   4.023645e-19   2.118683e-19   1.085501e-20   1.802323e-20   1.614945e-20
         7.0000   0.000000e+00   1.321563e-18   2.008558e-23   4.657321e-23   5.342819e-21   8.699790e-22   1.925094e-18   1.544244e-18   1.545025e-18   1.011020e-18   1.136862e-18   9.187076e-19   9.212872e-19   8.063620e-19   6.893954e-19   5.375890e-19   4.083122e-19   2.187647e-19   1.173246e-20   1.787797e-20   1.563372e-20
         7.0500   0.000000e+00   1.272676e-18   2.127572e-23   4.908972e-23   5.050540e-21   7.820526e-22   1.876353e-18   1.498062e-18   1.496678e-18   9.865213e-19   1.162563e-18   9.365103e-19   9.412258e-19   8.237431e-19   7.043027e-19   5.453185e-19   4.129805e-19   2.258787e-19   1.308786e-20   1.796568e-20   1.516563e-20
         7.1000   0.000000e+00   1.225112e-18   2.253639e-23   5.177179e-23   4.775544e-21   7.079022e-22   1.827166e-18   1.452190e-18   1.448655e-18   9.622350e-19   1.183180e-18   9.505150e-19   9.571843e-19   8.377236e-19   7.166133e-19   5.511071e-19   4.163471e-19   2.331687e-19   1.501813e-20   1.832642e-20   1.474382e-20
         7.1500   0.000000e+00   1.178878e-18   2.387175e-23   5.462843e-23   4.516838e-21   6.456501e-22   1.777700e-18   1.406734e-18   1.401040e-18   9.378468e-19   1.198996e-18   9.609153e-19   9.693594e-19   8.484449e-19   7.263487e-19   5.550175e-19   4.184164e-19   2.405284e-19   1.760693e-20   1.899226e-20   1.436707e-20
         7.2000   0.000000e+00   1.133976e-18   2.528624e-23   5.766909e-23   4.273493e-21   5.936842e-22   1.728110e-18   1.361787e-18   1.353918e-18   9.134577e-19   1.210312e-18   9.679265e-19   9.779719e-19   8.560747e-19   7.335633e-19   5.571622e-19   4.192210e-19   2.478610e-19   2.091446e-20   1.998289e-20   1.403421e-20
         7.2500   0.000000e+00   1.090401e-18   2.678455e-23   6.090388e-23   4.044644e-21   5.506239e-22   1.678542e-18   1.317434e-18   1.307391e-18   8.891434e-19   1.217442e-18   9.717708e-19   9.832571e-19   8.607985e-19   7.383449e-19   5.576665e-19   4.188459e-19   2.551619e-19   2.497071e-20   2.130234e-20   1.374437e-20
         7.3000   0.000000e+00   1.048148e-18   2.837163e-23   6.434339e-23   3.829482e-21   5.152903e-22   1.629128e-18   1.273748e-18   1.261655e-18   8.649630e-19   1.220706e-18   9.726716e-19   9.854519e-19   8.628119e-19   7.408076e-19   5.566523e-19   4.173875e-19   2.622777e-19   2.977246e-20   2.293740e-20   1.349661e-20
         7.3500   0.000000e+00   1.007204e-18   3.005275e-23   6.799889e-23   3.627249e-21   4.866792e-22   1.579991e-18   1.230795e-18   1.216888e-18   8.409494e-19   1.220421e-18   9.709177e-19   9.847902e-19   8.623169e-19   7.410852e-19   5.542371e-19   4.149341e-19   2.690692e-19   3.528453e-20   2.485865e-20   1.328987e-20
         7.4000   0.000000e+00   9.675576e-19   3.183349e-23   7.188233e-23   3.437240e-21   4.639379e-22   1.531244e-18   1.188631e-18   1.173211e-18   8.170872e-19   1.216896e-18   9.668213e-19   9.815049e-19   8.595176e-19   7.393174e-19   5.505341e-19   4.115682e-19   2.754293e-19   4.144316e-20   2.702392e-20   1.312325e-20
         7.4500   0.000000e+00   9.291911e-19   3.371974e-23   7.600656e-23   3.258795e-21   4.463446e-22   1.482989e-18   1.147304e-18   1.130702e-18   7.933684e-19   1.210464e-18   9.606675e-19   9.758250e-19   8.546155e-19   7.356240e-19   5.456574e-19   4.073679e-19   2.814668e-19   4.816250e-20   2.938174e-20   1.299626e-20
