# CIE bound-bound cooling efficiency for Ar (Z=18)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ar0          L_Ar1          L_Ar2          L_Ar3          L_Ar4          L_Ar5          L_Ar6          L_Ar7          L_Ar8          L_Ar9          L_Ar10         L_Ar11         L_Ar12         L_Ar13         L_Ar14         L_Ar15         L_Ar16         L_Ar17         L_Ar18       
         5.8000   0.000000e+00   1.506702e-24   1.502860e-20   2.632305e-18   2.918420e-18   2.945576e-18   2.500904e-18   1.485789e-18   2.553920e-20   6.667161e-20   1.207832e-19   1.851130e-19   2.142789e-19   2.356473e-19   2.420166e-19   1.683429e-19   1.310702e-20   3.251677e-20   3.149120e-20
         5.8500   0.000000e+00   1.572567e-24   1.406875e-20   2.691133e-18   2.969179e-18   3.014299e-18   2.538773e-18   1.502624e-18   4.145205e-20   8.227105e-20   1.357792e-19   1.986344e-19   2.288079e-19   2.510493e-19   2.565457e-19   1.713177e-19   1.251351e-20   3.090176e-20   2.983597e-20
         5.9000   0.000000e+00   1.641454e-24   1.317780e-20   2.740563e-18   3.006790e-18   3.070626e-18   2.565155e-18   1.515336e-18   6.391181e-20   1.024560e-19   1.535793e-19   2.130442e-19   2.431123e-19   2.653211e-19   2.692318e-19   1.733021e-19   1.195883e-20   2.928588e-20   2.827875e-20
         5.9500   0.000000e+00   1.713971e-24   1.235037e-20   2.781138e-18   3.032240e-18   3.114965e-18   2.580743e-18   1.524219e-18   9.397595e-20   1.281102e-19   1.751256e-19   2.291557e-19   2.576819e-19   2.786927e-19   2.801967e-19   1.744636e-19   1.144088e-20   2.780310e-20   2.681384e-20
         6.0000   0.000000e+00   1.790735e-24   1.158143e-20   2.813391e-18   3.046526e-18   3.147730e-18   2.586298e-18   1.529512e-18   1.323476e-19   1.598771e-19   2.013006e-19   2.478435e-19   2.731478e-19   2.915368e-19   2.896947e-19   1.750092e-19   1.095769e-20   2.640771e-20   2.543681e-20
         6.0500   0.000000e+00   1.872286e-24   1.086633e-20   2.837832e-18   3.050628e-18   3.169356e-18   2.582647e-18   1.531474e-18   1.792648e-19   1.980481e-19   2.327838e-19   2.699237e-19   2.902106e-19   3.043387e-19   2.980907e-19   1.751806e-19   1.050739e-20   2.513391e-20   2.414299e-20
         6.1000   0.000000e+00   1.959151e-24   1.020075e-20   2.854938e-18   3.045490e-18   3.180304e-18   2.570695e-18   1.530224e-18   2.344424e-19   2.424980e-19   2.699318e-19   2.960282e-19   3.098106e-19   3.176643e-19   3.058246e-19   1.752422e-19   1.008820e-20   2.390479e-20   2.292721e-20
         6.1500   0.000000e+00   2.051892e-24   9.580722e-21   2.865156e-18   3.032102e-18   3.181075e-18   2.551334e-18   1.525755e-18   2.970788e-19   2.926619e-19   3.127162e-19   3.265026e-19   3.318385e-19   3.320349e-19   3.133712e-19   1.754615e-19   9.698435e-21   2.272523e-20   2.178533e-20
         6.2000   0.000000e+00   2.151047e-24   9.002637e-21   2.868902e-18   3.011626e-18   3.172214e-18   2.525407e-18   1.518219e-18   3.659202e-19   3.475787e-19   3.607237e-19   3.613569e-19   3.568670e-19   3.478434e-19   3.211746e-19   1.760858e-19   9.336528e-21   2.164431e-20   2.071353e-20
         6.2500   0.000000e+00   2.257083e-24   8.463188e-21   2.866564e-18   2.985028e-18   3.154315e-18   2.493704e-18   1.507997e-18   4.393877e-19   4.060156e-19   4.131831e-19   4.003037e-19   3.848909e-19   3.652999e-19   3.295921e-19   1.773191e-19   9.000983e-21   2.063099e-20   1.970842e-20
