# CIE bound-bound cooling efficiency for Ar (Z=18)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ar0          L_Ar1          L_Ar2          L_Ar3          L_Ar4          L_Ar5          L_Ar6          L_Ar7          L_Ar8          L_Ar9          L_Ar10         L_Ar11         L_Ar12         L_Ar13         L_Ar14         L_Ar15         L_Ar16         L_Ar17         L_Ar18       
         5.4000   0.000000e+00   0.000000e+00   2.586748e-20   1.783849e-18   1.981028e-18   1.937568e-18   1.757208e-18   1.147425e-18   2.596904e-23   1.440930e-20   3.885566e-20   7.266948e-20   8.639575e-20   8.900093e-20   8.169590e-20   9.862390e-20   2.278581e-81   1.049988e-85   0.000000e+00
         5.4500   0.000000e+00   0.000000e+00   2.415606e-20   1.925777e-18   2.146710e-18   2.103321e-18   1.890015e-18   1.212565e-18   9.001697e-23   1.741350e-20   4.612763e-20   8.582241e-20   1.006093e-19   1.053447e-19   1.008962e-19   1.105862e-19   1.331225e-74   1.739521e-78   0.000000e+00
         5.5000   0.000000e+00   0.000000e+00   2.255417e-20   2.058671e-18   2.300912e-18   2.260129e-18   2.012972e-18   1.270935e-18   2.724280e-22   2.114264e-20   5.444116e-20   9.978151e-20   1.159994e-19   1.230805e-19   1.213163e-19   1.218167e-19   1.427635e-68   4.698376e-72   0.000000e+00
         5.5500   0.000000e+00   0.000000e+00   2.105930e-20   2.181447e-18   2.441743e-18   2.406217e-18   2.124988e-18   1.322439e-18   7.306917e-22   2.559976e-20   6.362492e-20   1.141940e-19   1.322056e-19   1.417539e-19   1.423801e-19   1.320945e-19   3.381686e-63   2.520176e-66   0.000000e+00
         5.6000   0.000000e+00   0.000000e+00   1.966745e-20   2.293461e-18   2.567916e-18   2.540257e-18   2.225248e-18   1.367184e-18   1.760050e-21   3.083932e-20   7.350285e-20   1.287124e-19   1.488334e-19   1.608855e-19   1.634983e-19   1.412600e-19   2.084036e-58   3.200831e-61   0.000000e+00
         5.6500   0.000000e+00   0.000000e+00   1.837356e-20   2.394434e-18   2.678702e-18   2.661437e-18   2.313179e-18   1.405432e-18   3.852045e-21   3.703039e-20   8.395622e-20   1.430421e-19   1.654829e-19   1.800022e-19   1.841109e-19   1.492122e-19   3.866097e-54   1.125980e-56   0.000000e+00
         5.7000   0.000000e+00   0.000000e+00   1.717202e-20   2.484382e-18   2.773858e-18   2.769377e-18   2.388430e-18   1.437566e-18   7.739673e-21   4.452241e-20   9.499628e-20   1.569954e-19   1.818112e-19   1.986505e-19   2.037224e-19   1.559030e-19   2.458316e-50   1.261615e-52   0.000000e+00
         5.7500   0.000000e+00   0.000000e+00   1.605689e-20   2.563539e-18   2.853564e-18   2.864019e-18   2.450904e-18   1.464064e-18   1.440774e-20   5.388554e-20   1.068334e-19   1.705484e-19   1.975814e-19   2.164573e-19   2.219347e-19   1.613315e-19   6.014399e-47   5.099765e-49   0.000000e+00
         5.8000   0.000000e+00   0.000000e+00   1.502219e-20   2.632291e-18   2.918394e-18   2.945537e-18   2.500849e-18   1.485463e-18   2.505085e-20   6.590620e-20   1.199206e-19   1.838918e-19   2.127091e-19   2.331692e-19   2.384651e-19   1.655441e-19   6.274866e-44   8.310365e-46   0.000000e+00
         5.8500   0.000000e+00   0.000000e+00   1.406203e-20   2.691117e-18   2.969151e-18   3.014256e-18   2.538714e-18   1.502303e-18   4.097337e-20   8.152594e-20   1.349451e-19   1.974592e-19   2.272987e-19   2.486810e-19   2.531587e-19   1.686294e-19   3.061475e-41   6.027168e-43   0.000000e+00
