# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         6.5500   1.654515e-24   2.251576e-18   1.081660e-18   1.198154e-18   9.358663e-19   8.343611e-19   1.201907e-18   1.010604e-18   7.806980e-19   4.273309e-19   7.630294e-21   5.293640e-21   4.559960e-22
         6.6000   1.830276e-24   2.182314e-18   1.083737e-18   1.205110e-18   9.431126e-19   8.401827e-19   1.211206e-18   1.015805e-18   7.837665e-19   4.343678e-19   9.965934e-21   6.110687e-21   4.883979e-22
         6.6500   2.027911e-24   2.113760e-18   1.082736e-18   1.208944e-18   9.480362e-19   8.439470e-19   1.216622e-18   1.017933e-18   7.846552e-19   4.410634e-19   1.318417e-20   7.322295e-21   5.233647e-22
         6.7000   2.249881e-24   2.045917e-18   1.078937e-18   1.209918e-18   9.507734e-19   8.457900e-19   1.218418e-18   1.017236e-18   7.834919e-19   4.473694e-19   1.739610e-20   8.989474e-21   5.611083e-22
         6.7500   2.498935e-24   1.978823e-18   1.072661e-18   1.208234e-18   9.514504e-19   8.458427e-19   1.216851e-18   1.013941e-18   7.804225e-19   4.532519e-19   2.267221e-20   1.115240e-20   6.018515e-22
         6.8000   2.778140e-24   1.912544e-18   1.064188e-18   1.204059e-18   9.501853e-19   8.442278e-19   1.212164e-18   1.008259e-18   7.755814e-19   4.588097e-19   2.903569e-20   1.382450e-20   6.458280e-22
         6.8500   3.090918e-24   1.847167e-18   1.053761e-18   1.197544e-18   9.470894e-19   8.410593e-19   1.204608e-18   1.000394e-18   7.690938e-19   4.638759e-19   3.646082e-20   1.698992e-20   6.932763e-22
         6.9000   3.441086e-24   1.782840e-18   1.041587e-18   1.188834e-18   9.422697e-19   8.364434e-19   1.194432e-18   9.905645e-19   7.610795e-19   4.683851e-19   4.487644e-20   2.060399e-20   7.444349e-22
         6.9500   3.832903e-24   1.719718e-18   1.027855e-18   1.178086e-18   9.358302e-19   8.304790e-19   1.181884e-18   9.789728e-19   7.516624e-19   4.722671e-19   5.417349e-20   2.459692e-20   7.995306e-22
         7.0000   4.271116e-24   1.657924e-18   1.012744e-18   1.165499e-18   9.278733e-19   8.232594e-19   1.167205e-18   9.657990e-19   7.409996e-19   4.757548e-19   6.421402e-20   2.888078e-20   8.587609e-22
         7.0500   4.761023e-24   1.597558e-18   9.964586e-19   1.151262e-18   9.185008e-19   8.148733e-19   1.150674e-18   9.512072e-19   7.292421e-19   4.785529e-19   7.484066e-20   3.335682e-20   9.222808e-22
